x_EPSG:4326,y_EPSG:4326,id,geometry,x,y,source,target,link_id
54.955662,56.252617,28,POINT (54.955662 56.252617),373342.3042519591,6236074.924017944,8299,8304,17645
54.955376,56.252663,29,POINT (54.955376 56.252663),373324.7398423356,6236080.568528407,8304,8299,17660
54.955086,56.252705,30,POINT (54.955086 56.252705),373306.9144813467,6236085.775369117,8299,8304,17645
54.954796,56.252747,31,POINT (54.954796 56.252747),373289.0891610384,6236090.982284872,8299,8304,17645
54.954502,56.252792,32,POINT (54.954502 56.252792),373271.02601517184,6236096.530458396,8299,8304,17645
54.954208,56.252838,33,POINT (54.954208 56.252838),373252.96621849865,6236102.189983756,8304,8309,17659
54.953915,56.25288,34,POINT (54.953915 56.25288),373234.955189547,6236107.402647106,8304,8309,17659
54.953613,56.25293,35,POINT (54.953613 56.25293),373216.4131470085,6236113.52214861,8309,8304,17675
54.953308,56.252975,36,POINT (54.953308 56.252975),373197.668788012,6236119.09087986,8309,8304,17675
54.953003,56.253025,37,POINT (54.953003 56.253025),373178.9410099757,6236125.216067678,8304,8309,17659
54.95269,56.253071,38,POINT (54.95269 56.253071),373159.7044964135,6236130.910969504,8304,8309,17659
54.952381,56.25312,39,POINT (54.952381 56.25312),373140.72573281714,6236136.932416751,8304,8309,17659
54.952068,56.25317,40,POINT (54.952068 56.25317),373121.5025507835,6236143.072591015,8309,8312,17676
54.951756,56.25322,41,POINT (54.951756 56.25322),373102.34136515245,6236149.211010549,94,8309,209
54.951443,56.253265,42,POINT (54.951443 56.253265),373083.101739502,6236154.794985845,94,8309,209
54.95113,56.253315,43,POINT (54.95113 56.253315),373063.87871124217,6236160.935421912,94,8309,209
54.950821,56.253365,44,POINT (54.950821 56.253365),373044.9035112023,6236167.068573651,8309,94,17674
54.950523,56.25341,45,POINT (54.950523 56.25341),373026.59319065494,6236172.625162166,8309,94,17674
54.950226,56.253456,46,POINT (54.950226 56.253456),373008.34817024786,6236178.291261092,8309,94,17674
54.949932,56.253502,47,POINT (54.949932 56.253502),372990.28902675054,6236183.951907541,8309,94,17674
54.949638,56.253548,48,POINT (54.949638 56.253548),372972.2299283306,6236189.612631068,8309,94,17674
54.949345,56.253593,49,POINT (54.949345 56.253593),372954.22950565396,6236195.160312808,94,8309,209
54.949043,56.253635,50,POINT (54.949043 56.253635),372935.66169460036,6236200.390847802,8309,94,17674
54.948746,56.253677,51,POINT (54.948746 56.253677),372917.40364339924,6236205.612240315,8309,94,17674
54.948456,56.253716,52,POINT (54.948456 56.253716),372899.5692945835,6236210.486972471,8309,94,17674
54.948166,56.253761,53,POINT (54.948166 56.253761),372881.75487287913,6236216.029427295,94,8309,209
54.947876,56.253803,54,POINT (54.947876 56.253803),372863.9305486466,6236221.238133348,94,8309,209
54.947582,56.253849,55,POINT (54.947582 56.253849),372845.8717555948,6236226.899396039,94,8309,209
54.947289,56.253891,56,POINT (54.947289 56.253891),372827.8616855455,6236232.113791419,94,8309,209
54.946999,56.253937,57,POINT (54.946999 56.253937),372810.0507528273,6236237.7678226605,8309,94,17674
54.946709,56.253979,58,POINT (54.946709 56.253979),372792.2265956061,6236242.976830639,5003,94,10765
54.946415,56.254025,59,POINT (54.946415 56.254025),372774.16797834553,6236248.638399322,94,5003,208
54.946125,56.25407,60,POINT (54.946125 56.25407),372756.3538592232,6236254.181382036,94,5003,208
54.945839,56.25412,61,POINT (54.945839 56.25412),372738.8041478007,6236260.2734229285,5003,94,10765
54.945557,56.254169,62,POINT (54.945557 56.254169),372721.49893537577,6236266.246871623,5003,94,10765
54.945278,56.254211,63,POINT (54.945278 56.254211),372704.35635965364,6236271.4359258255,94,5003,208
54.945004,56.254253,64,POINT (54.945004 56.254253),372687.52353553404,6236276.6158088185,94,5003,208
54.944733,56.254292,65,POINT (54.944733 56.254292),372670.8666157499,6236281.456390115,5003,94,10765
54.944473,56.25433,66,POINT (54.944473 56.25433),372654.88777644327,6236286.165427761,5003,94,10765
54.944233,56.25436,67,POINT (54.944233 56.25436),372640.12124615384,6236289.947353186,94,5003,208
54.944012,56.254391,68,POINT (54.944012 56.254391),372626.53496465925,6236293.805473111,5003,94,10765
54.943806,56.254417,69,POINT (54.943806 56.254417),372613.86122947786,6236297.079526073,238,5003,499
54.943615,56.254444,70,POINT (54.943615 56.254444),372602.1199671114,6236300.4371507615,238,5003,499
54.943443,56.254471,71,POINT (54.943443 56.254471),372591.5556223547,6236303.759666872,238,5003,499
54.943298,56.254486,72,POINT (54.943298 56.254486),372582.62385595683,6236305.696974612,238,5003,499
54.94318,56.254501,73,POINT (54.94318 56.254501),372575.36453286273,6236307.5843572905,5003,238,10764
54.943081,56.254513,74,POINT (54.943081 56.254513),372569.2721452248,6236309.102781684,238,5003,499
54.942989,56.25452,75,POINT (54.942989 56.25452),372563.59673943644,6236310.051892933,5021,238,10807
54.942902,56.254524,76,POINT (54.942902 56.254524),372558.2210757525,6236310.657938296,238,237,501
54.942818,56.254517,77,POINT (54.942818 56.254517),372552.99468035164,6236310.034421054,238,237,501
54.942738,56.254494,78,POINT (54.942738 56.254494),372547.9628725413,6236307.623118126,238,5109,500
54.942677,56.254452,79,POINT (54.942677 56.254452),372544.04480736156,6236303.062452056,238,5109,500
54.942627,56.254395,80,POINT (54.942627 56.254395),372540.7582405718,6236296.812319685,238,237,501
54.942574,56.25433,81,POINT (54.942574 56.25433),372537.2592462755,6236289.677545034,238,237,501
54.942524,56.254253,82,POINT (54.942524 56.254253),372533.90618023265,6236281.201928628,238,237,501
54.942463,56.254169,83,POINT (54.942463 56.254169),372529.8484648016,6236271.967748113,238,237,501
54.942383,56.254074,84,POINT (54.942383 56.254074),372524.57725464326,6236261.544711527,237,238,498
54.942291,56.253971,85,POINT (54.942291 56.253971),372518.53611050773,6236250.2536925245,238,237,501
54.942188,56.253857,86,POINT (54.942188 56.253857),372511.77699245466,6236237.759020291,237,238,498
54.942089,56.253738,87,POINT (54.942089 56.253738),372505.2489867634,6236224.700583202,237,238,498
54.941986,56.253616,88,POINT (54.941986 56.253616),372498.463195202,6236211.315735921,238,237,501
54.941872,56.253494,89,POINT (54.941872 56.253494),372490.9959832779,6236197.951259642,238,237,501
54.941753,56.253365,90,POINT (54.941753 56.253365),372483.19573123043,6236183.817130455,238,237,501
54.941628,56.253231,91,POINT (54.941628 56.253231),372475.0071387623,6236169.137750146,238,237,501
54.941502,56.253094,92,POINT (54.941502 56.253094),372466.7465719166,6236154.1264131535,238,237,501
54.94138,56.252956,93,POINT (54.94138 56.252956),372458.7304026018,6236138.996411568,238,237,501
54.941254,56.252823,94,POINT (54.941254 56.252823),372450.4830308247,6236124.430202709,237,238,498
54.941132,56.252689,95,POINT (54.941132 56.252689),372442.4800594861,6236109.745328301,237,4998,497
54.941002,56.25256,96,POINT (54.941002 56.25256),372433.9981067786,6236095.631654526,4998,237,10754
54.940865,56.25243,97,POINT (54.940865 56.25243),372425.07915646385,6236081.419686002,237,4998,497
54.940712,56.252296,98,POINT (54.940712 56.252296),372415.1557125787,6236066.792270603,4998,237,10754
54.940552,56.252171,99,POINT (54.940552 56.252171),372404.8285268415,6236053.179312252,4998,237,10754
54.94038,56.252045,100,POINT (54.94038 56.252045),372393.75459807925,6236039.477331969,237,4998,497
54.940205,56.251919,101,POINT (54.940205 56.251919),372382.4947617275,6236025.780937226,236,4998,496
54.940022,56.251797,102,POINT (54.940022 56.251797),372370.75259580463,6236012.544490224,4998,236,10753
54.939835,56.251675,103,POINT (54.939835 56.251675),372358.7625724411,6235999.3154861545,4998,236,10753
54.93964,56.251553,104,POINT (54.93964 56.251553),372346.2769021676,6235986.101339169,4998,236,10753
54.939438,56.251434,105,POINT (54.939438 56.251434),372333.3675139678,6235973.234023326,236,5108,495
54.939232,56.251316,106,POINT (54.939232 56.251316),372320.2135898005,6235960.485433608,5108,236,11013
54.939026,56.251209,107,POINT (54.939026 56.251209),372307.0962132487,6235948.960901031,5108,4995,11012
54.938824,56.251106,108,POINT (54.938824 56.251106),372294.23987601063,6235937.87409013,5108,4995,11012
54.938629,56.251011,109,POINT (54.938629 56.251011),372281.8437475917,6235927.664533951,5108,4995,11012
54.938427,56.250919,110,POINT (54.938427 56.250919),372269.0239171552,6235917.801814903,235,4995,494
54.938221,56.250828,111,POINT (54.938221 56.250828),372255.95956667745,6235908.0578252515,235,4995,494
54.938007,56.25074,112,POINT (54.938007 56.25074),372242.4095654595,6235898.662533845,235,4995,494
54.937794,56.25066,113,POINT (54.937794 56.25066),372228.9481046951,6235890.155624233,235,4995,494
54.93758,56.250576,114,POINT (54.93758 56.250576),372215.4113140225,6235881.205514298,235,4995,494
54.937351,56.250496,115,POINT (54.937351 56.250496),372200.95856813295,6235872.7283702465,4995,235,10747
54.937111,56.250416,116,POINT (54.937111 56.250416),372185.82432963594,6235864.271683035,235,4995,494
54.936863,56.250332,117,POINT (54.936863 56.250332),372170.1811084833,6235855.384796225,235,4995,494
54.936604,56.250252,118,POINT (54.936604 56.250252),372153.86971755215,6235846.963476552,4995,235,10747
54.93634,56.250172,119,POINT (54.93634 56.250172),372137.24851606635,6235838.551498585,235,2957,493
54.936069,56.250095,120,POINT (54.936069 56.250095),372120.2036068046,6235830.486401118,2957,235,6443
54.935795,56.250027,121,POINT (54.935795 56.250027),372103.0027962916,6235823.42840838,235,2957,493
54.93552,56.249962,122,POINT (54.93552 56.249962),372085.7499830482,6235816.70616363,2957,235,6443
54.935242,56.249908,123,POINT (54.935242 56.249908),372068.34795684926,6235811.213575123,235,2957,493
54.934963,56.249855,124,POINT (54.934963 56.249855),372050.88726999494,6235805.834188461,235,2957,493
54.934689,56.249802,125,POINT (54.934689 56.249802),372033.73628431844,6235800.445585032,4971,2957,10697
54.93441,56.24976,126,POINT (54.93441 56.24976),372016.3122112637,6235796.290354685,2957,4971,6442
54.934132,56.249718,127,POINT (54.934132 56.249718),371998.9500512325,6235792.133336999,4971,2957,10697
54.933853,56.24968,128,POINT (54.933853 56.24968),371981.53925633733,6235788.423344384,2957,4971,6442
54.933575,56.249638,129,POINT (54.933575 56.249638),371964.1770250004,6235784.266467292,2957,4971,6442
54.9333,56.249599,130,POINT (54.9333 56.249599),371947.01062291453,6235780.437906449,2957,4971,6442
54.933022,56.249561,131,POINT (54.933022 56.249561),371929.66167681705,6235776.726265462,4971,2957,10697
54.932739,56.249531,132,POINT (54.932739 56.249531),371912.02966509754,6235773.9141839715,2957,4971,6442
54.932457,56.249496,133,POINT (54.932457 56.249496),371894.4428766873,6235770.543944919,2957,4971,6442
54.932175,56.249466,134,POINT (54.932175 56.249466),371876.87276035757,6235767.730148471,2957,4971,6442
54.931889,56.249432,135,POINT (54.931889 56.249432),371859.0414535055,6235764.478767881,2957,4971,6442
54.931595,56.249397,136,POINT (54.931595 56.249397),371840.7111738306,6235761.131069872,4971,4970,10695
54.931301,56.249363,137,POINT (54.931301 56.249363),371822.3842041938,6235757.89472428,4971,4974,10696
54.931004,56.249329,138,POINT (54.931004 56.249329),371803.87135283643,6235754.664039571,4971,4974,10696
54.930706,56.24929,139,POINT (54.930706 56.24929),371785.2798053212,6235750.8789256085,4971,4974,10696
54.930408,56.249252,140,POINT (54.930408 56.249252),371766.69156502513,6235747.205166245,4971,4974,10696
54.930099,56.24921,141,POINT (54.930099 56.24921),371747.40845929174,6235743.106869572,4969,4974,10692
54.92979,56.249172,142,POINT (54.92979 56.249172),371728.1386906766,6235739.453755665,4974,4969,10703
54.929482,56.249134,143,POINT (54.929482 56.249134),371708.93083613657,6235735.79886609,4969,4974,10692
54.929169,56.249092,144,POINT (54.929169 56.249092),371689.39981067786,6235731.708279002,4969,4974,10692
54.928856,56.24905,145,POINT (54.928856 56.24905),371669.86874426395,6235727.617780794,4969,217,10691
54.928535,56.249004,146,POINT (54.928535 56.249004),371649.82864538644,6235723.0971801225,217,4969,454
54.928207,56.248955,147,POINT (54.928207 56.248955),371629.3448039307,6235718.255894666,4969,217,10691
54.927872,56.248901,148,POINT (54.927872 56.248901),371608.41051862005,6235712.871382778,4969,217,10691
54.92754,56.248844,149,POINT (54.92754 56.248844),371587.65198551805,6235707.147559023,4969,217,10691
54.927197,56.248779,150,POINT (54.927197 56.248779),371566.18514273444,6235700.554151029,4969,217,10691
54.926849,56.248714,151,POINT (54.926849 56.248714),371544.40847391,6235693.970173185,4969,217,10691
54.926502,56.248653,152,POINT (54.926502 56.248653),371522.7070839776,6235687.82953641,96,217,214
54.926167,56.248589,153,POINT (54.926167 56.248589),371501.7389933271,6235681.332804619,96,217,214
54.925846,56.24852,154,POINT (54.925846 56.24852),371481.6214021238,6235674.2536881175,217,96,453
54.925533,56.24844,155,POINT (54.925533 56.24844),371461.9624900823,6235665.935726182,217,96,453
54.925232,56.248356,156,POINT (54.925232 56.248356),371443.03351267445,6235657.150365308,96,4955,213
54.924938,56.248264,157,POINT (54.924938 56.248264),371424.51130066905,6235647.461831911,4955,96,10653
54.924644,56.248165,158,POINT (54.924644 56.248165),371405.96553418925,6235636.994460721,4955,96,10653
54.924355,56.248066,159,POINT (54.924355 56.248066),371387.7294362737,6235626.517834661,96,4955,213
54.924068,56.247963,160,POINT (54.924068 56.247963),371369.6037378504,6235615.592455737,4955,4953,10652
54.92379,56.24786,161,POINT (54.92379 56.24786),371352.0355181779,6235604.6503461925,4955,4953,10652
54.923519,56.247757,162,POINT (54.923519 56.247757),371334.9008762818,6235593.695234456,4955,4953,10652
54.92326,56.247662,163,POINT (54.92326 56.247662),371318.536418858,6235583.607966679,4955,4953,10652
54.923004,56.247562,164,POINT (54.923004 56.247562),371302.34096572676,6235572.958787297,4954,4953,10650
54.922756,56.247459,165,POINT (54.922756 56.247459),371286.6309893029,6235561.960900337,4953,218,10647
54.922508,56.24736,166,POINT (54.922508 56.24736),371270.9343560155,6235551.408165495,4953,218,10647
54.922256,56.247253,167,POINT (54.922256 56.247253),371254.9629789054,6235539.972772179,218,4953,456
54.922009,56.247143,168,POINT (54.922009 56.247143),371239.29121360613,6235528.19427122,218,4953,456
54.921764,56.247032,169,POINT (54.921764 56.247032),371223.7399122501,6235516.300814566,414,218,871
54.92152,56.246914,170,POINT (54.92152 56.246914),371208.22697471,6235503.626627699,218,414,455
54.92128,56.246788,171,POINT (54.92128 56.246788),371192.9348979402,6235490.0548273465,218,414,455
54.921036,56.246658,172,POINT (54.921036 56.246658),371177.38147352415,6235476.0454652365,414,218,871
54.920792,56.246525,173,POINT (54.920792 56.246525),371161.8178716638,6235461.702337424,218,414,455
54.92054,56.246387,174,POINT (54.92054 56.246387),371145.74173164245,6235446.817859261,218,414,455
54.920284,56.246246,175,POINT (54.920284 56.246246),371129.4075817481,6235431.607101538,218,414,455
54.920025,56.246105,176,POINT (54.920025 56.246105),371112.88745107525,6235416.402017498,218,414,455
54.919762,56.24596,177,POINT (54.919762 56.24596),371096.1059402048,6235400.759385479,414,218,871
54.919498,56.245811,178,POINT (54.919498 56.245811),371079.24890862964,6235384.67359457,218,414,455
54.919224,56.245663,179,POINT (54.919224 56.245663),371061.77555318165,6235368.717858011,218,414,455
54.918957,56.24551,180,POINT (54.918957 56.24551),371044.7189535225,6235352.192720524,414,218,871
54.918686,56.245358,181,POINT (54.918686 56.245358),371027.4177600812,6235335.786411597,414,218,871
54.918407,56.245205,182,POINT (54.918407 56.245205),371009.6174191041,6235319.28387604,218,414,455
54.918137,56.245049,183,POINT (54.918137 56.245049),370992.36446579424,6235302.430739282,218,414,455
54.917858,56.244888,184,POINT (54.917858 56.244888),370974.5369458931,6235285.038157728,218,414,455
54.917572,56.244728,185,POINT (54.917572 56.244728),370956.2789445745,6235267.770034106,414,218,871
54.917282,56.244568,186,POINT (54.917282 56.244568),370937.7729666536,6235250.509480265,414,218,871
54.916992,56.244404,187,POINT (54.916992 56.244404),370919.2533815055,6235232.803910553,218,414,455
54.916698,56.24424,188,POINT (54.916698 56.24424),370900.4858119389,6235215.10591495,414,218,871
54.916409,56.244083,189,POINT (54.916409 56.244083),370882.0514422106,6235198.177544654,218,414,455
54.916119,56.243923,190,POINT (54.916119 56.243923),370863.54487048206,6235180.917305995,218,414,455
54.915829,56.243759,191,POINT (54.915829 56.243759),370845.024684114,6235163.212051629,414,218,871
54.915539,56.243595,192,POINT (54.915539 56.243595),370826.50434636744,6235145.506875935,218,414,455
54.915241,56.243431,193,POINT (54.915241 56.243431),370807.4881808845,6235127.816780445,218,414,455
54.91494,56.243267,194,POINT (54.91494 56.243267),370788.2859804388,6235110.132394339,414,218,871
54.914639,56.243103,195,POINT (54.914639 56.243103),370769.0836228834,6235092.448092849,218,414,455
54.914337,56.242939,196,POINT (54.914337 56.242939),370749.81914789305,6235074.765751999,414,218,871
54.914036,56.242775,197,POINT (54.914036 56.242775),370730.61647585966,6235057.08162002,218,414,455
54.913734,56.242603,198,POINT (54.913734 56.242603),370711.32472523884,6235038.509261255,218,414,455
54.913433,56.242435,199,POINT (54.913433 56.242435),370692.1082526562,6235020.380204928,414,218,871
54.913128,56.242264,200,POINT (54.913128 56.242264),370672.6336604191,6235001.924921388,218,414,455
54.912823,56.242088,201,POINT (54.912823 56.242088),370653.1420445326,6234982.913357514,414,218,871
54.912514,56.241917,202,POINT (54.912514 56.241917),370633.4192700721,6234964.465758764,218,414,455
54.912205,56.241745,203,POINT (54.912205 56.241745),370613.69295492733,6234945.906975809,218,414,455
54.911892,56.241573,204,POINT (54.911892 56.241573),370593.7186206426,6234927.355795143,218,414,455
54.911579,56.241402,205,POINT (54.911579 56.241402),370573.7474885334,6234908.915979437,218,414,455
54.911263,56.24123,206,POINT (54.911263 56.24123),370553.5869229472,6234890.370618336,414,218,871
54.910942,56.241058,207,POINT (54.910942 56.241058),370533.11636781174,6234871.834746132,218,414,455
54.910622,56.240883,208,POINT (54.910622 56.240883),370512.6974754396,6234852.963270523,218,414,455
54.910301,56.240704,209,POINT (54.910301 56.240704),370492.20293877245,6234833.648676792,218,414,455
54.909985,56.240528,210,POINT (54.909985 56.240528),370472.02816820575,6234814.658599458,218,414,455
54.909672,56.240349,211,POINT (54.909672 56.240349),370452.0289842859,6234795.329154549,218,414,455
54.909351,56.240173,212,POINT (54.909351 56.240173),370431.54403543915,6234776.348666005,414,218,871
54.909035,56.239994,213,POINT (54.909035 56.239994),370411.3585990912,6234757.025049369,414,218,871
54.908714,56.239819,214,POINT (54.908714 56.239819),370390.87666859344,6234738.156025252,414,218,871
54.908398,56.239643,215,POINT (54.908398 56.239643),370370.7010085448,6234719.16641679,414,218,871
54.908085,56.239471,216,POINT (54.908085 56.239471),370350.7245853543,6234700.616349637,414,218,871
54.907772,56.2393,217,POINT (54.907772 56.2393),370330.75137041596,6234682.177647309,218,414,455
54.907467,56.239132,218,POINT (54.907467 56.239132),370311.2838563827,6234664.057797834,218,414,455
54.907173,56.238972,219,POINT (54.907173 56.238972),370292.52485662705,6234646.807512991,414,218,871
54.906883,56.238811,220,POINT (54.906883 56.238811),370274.0101937063,6234629.438504259,218,414,455
54.906601,56.238655,221,POINT (54.906601 56.238655),370256.00802655774,6234612.610875529,414,413,869
54.906322,56.238499,222,POINT (54.906322 56.238499),370238.1916215488,6234595.7776710605,414,5105,870
54.906044,56.238346,223,POINT (54.906044 56.238346),370220.4471926612,6234579.276475439,414,5105,870
54.905766,56.238197,224,POINT (54.905766 56.238197),370202.71615953126,6234563.220444891,5105,414,11007
54.905495,56.238049,225,POINT (54.905495 56.238049),370185.42215447343,6234547.262570886,5105,414,11007
54.905228,56.237904,226,POINT (54.905228 56.237904),370168.3860460083,6234531.631047638,414,5105,870
54.904968,56.237762,227,POINT (54.904968 56.237762),370151.79374638235,6234516.32021835,5105,414,11007
54.904716,56.237625,228,POINT (54.904716 56.237625),370135.7140017397,6234501.550739466,414,5105,870
54.904472,56.237484,229,POINT (54.904472 56.237484),370120.11635975144,6234486.321146824,5105,414,11007
54.904228,56.237343,230,POINT (54.904228 56.237343),370104.51860827295,6234471.091609941,414,5105,870
54.90398,56.237202,231,POINT (54.90398 56.237202),370088.6728695421,6234455.869670802,5105,414,11007
54.903728,56.237064,232,POINT (54.903728 56.237064),370072.5892989513,6234440.989151546,5105,414,11007
54.903481,56.236923,233,POINT (54.903481 56.236923),370056.8053078273,6234425.7654424505,5105,414,11007
54.903229,56.236778,234,POINT (54.903229 56.236778),370040.69780804345,6234410.106128896,5105,414,11007
54.902973,56.236626,235,POINT (54.902973 56.236626),370024.3185999882,6234393.675508695,414,5105,870
54.90271,56.236477,236,POINT (54.90271 56.236477),370007.51563685725,6234377.591975855,414,5105,870
54.902443,56.236317,237,POINT (54.902443 56.236317),369990.4273968916,6234360.292051338,5105,414,11007
54.902161,56.236153,238,POINT (54.902161 56.236153),369972.39590035647,6234342.575408719,414,5105,870
54.901871,56.235985,239,POINT (54.901871 56.235985),369953.85492975364,6234324.428847719,5105,414,11007
54.901573,56.235817,240,POINT (54.901573 56.235817),369934.8180309686,6234306.297467079,5105,414,11007
54.901264,56.235649,241,POINT (54.901264 56.235649),369915.099281869,6234288.186937297,414,5105,870
54.900951,56.235477,242,POINT (54.900951 56.235477),369895.1189170764,6234269.638957628,5105,414,11007
54.900639,56.235306,243,POINT (54.900639 56.235306),369875.2037443733,6234251.200453987,5105,414,11007
54.900314,56.235134,244,POINT (54.900314 56.235134),369854.47936500784,6234232.675323315,5105,414,11007
54.899986,56.23497,245,POINT (54.899986 56.23497),369833.5960246936,6234215.046142691,5105,414,11007
54.899666,56.234806,246,POINT (54.899666 56.234806),369813.20829922194,6234197.401946644,414,5105,870
54.899357,56.234642,247,POINT (54.899357 56.234642),369793.50211535674,6234179.737058969,5105,414,11007
54.899059,56.234478,248,POINT (54.899059 56.234478),369774.47748168936,6234162.051470341,82,5105,177
54.898769,56.234314,249,POINT (54.898769 56.234314),369755.9484847321,6234144.350842555,5105,82,11006
54.898464,56.234158,250,POINT (54.898464 56.234158),369736.5168774324,6234127.568835142,5105,82,11006
54.898155,56.234001,251,POINT (54.898155 56.234001),369716.8338257563,6234110.683204783,5105,82,11006
54.897835,56.233849,252,POINT (54.897835 56.233849),369696.4858743333,6234094.37483028,5105,82,11006
54.897507,56.2337,253,POINT (54.897507 56.2337),369675.65215598815,6234078.415501016,5105,82,11006
54.897175,56.233555,254,POINT (54.897175 56.233555),369654.5839671824,6234062.9089300865,82,5105,177
54.896835,56.23341,255,POINT (54.896835 56.23341),369633.0198216458,6234047.417597524,82,5105,177
54.896492,56.233269,256,POINT (54.896492 56.233269),369611.28318259027,6234032.377140573,82,219,176
54.896145,56.233131,257,POINT (54.896145 56.233131),369589.30868057534,6234017.678181693,219,82,458
54.89579,56.233006,258,POINT (54.89579 56.233006),369566.88240044296,6234004.441025093,82,219,176
54.89542,56.232887,259,POINT (54.89542 56.232887),369543.5467307594,6233991.900021343,219,82,458
54.89505,56.232773,260,POINT (54.89505 56.232773),369520.2279208208,6233979.9155076,82,219,176
54.894672,56.232662,261,POINT (54.894672 56.232662),369496.42336550483,6233968.280089991,82,219,176
54.894295,56.232563,262,POINT (54.894295 56.232563),369472.7214671331,6233957.978182857,219,82,458
54.893913,56.232468,263,POINT (54.893913 56.232468),369448.72317279177,6233948.130970441,219,5104,457
54.89352,56.23238,264,POINT (54.89352 56.23238),369424.06683215895,6233939.083646408,219,5104,457
54.89312,56.232292,265,POINT (54.89312 56.232292),369398.9765419568,6233930.049731197,219,5104,457
54.892712,56.232216,266,POINT (54.892712 56.232216),369373.4311655709,6233922.366401348,5104,219,11005
54.8923,56.232136,267,POINT (54.8923 56.232136),369347.6241647913,6233914.245716674,5104,219,11005
54.89188,56.232056,268,POINT (54.89188 56.232056),369321.3212397622,6233906.140358859,5104,219,11005
54.891464,56.231976,269,POINT (54.891464 56.231976),369295.26611987187,6233898.027574112,219,5104,457
54.891041,56.231892,270,POINT (54.891041 56.231892),369268.7634253218,6233889.483137166,5104,219,11005
54.890617,56.231812,271,POINT (54.890617 56.231812),369242.2122690057,6233881.385851774,219,5104,457
54.890198,56.231735,272,POINT (54.890198 56.231735),369215.98111944384,6233873.613057932,219,5104,457
54.889778,56.231655,273,POINT (54.889778 56.231655),369189.67766529706,6233865.508504353,219,5104,457
54.889362,56.231575,274,POINT (54.889362 56.231575),369163.62201875565,6233857.396516236,219,5104,457
54.88895,56.231495,275,POINT (54.88895 56.231495),369137.8141812964,6233849.277089059,5104,219,11005
54.888535,56.231419,276,POINT (54.888535 56.231419),369111.8339458955,6233841.608605762,5104,219,11005
54.888119,56.231339,277,POINT (54.888119 56.231339),369085.7779886867,6233833.497088716,5104,219,11005
54.887703,56.231262,278,POINT (54.887703 56.231262),369059.7321618886,6233825.719547177,219,5104,457
54.887283,56.231182,279,POINT (54.887283 56.231182),369033.4280817265,6233817.61594818,5104,219,11005
54.886868,56.231098,280,POINT (54.886868 56.231098),369007.4201389953,6233809.057914208,219,5104,457
